個股名稱,持有股數,投資比例(%),ticker
台積電(2330.TW),14200000,17.06,2330.TW
聯電(2303.TW),79700000,5.92,2303.TW
欣興(3037.TW),8960000,4.81,3037.TW
奇鋐(3017.TW),3250000,4.39,3017.TW
日月光投控(3711.TW),12101000,3.97,3711.TW
台光電(2383.TW),1350000,3.57,2383.TW
國巨*(2327.TW),8760000,3.4,2327.TW
金像電(2368.TW),4700000,3.21,2368.TW
台達電(2308.TW),2010000,2.51,2308.TW
智邦(2345.TW),1950000,2.49,2345.TW
華邦電(2344.TW),31560000,2.38,2344.TW
聯發科(2454.TW),1000000,2.31,2454.TW
旺矽(6223.TW),655000,2.03,6223.TW
緯穎(6669.TW),760000,1.97,6669.TW
南電(8046.TW),3550000,1.58,8046.TW
嘉澤(3533.TW),1160000,1.51,3533.TW
群聯(8299.TW),1163000,1.49,8299.TW
信驊(5274.TW),155000,1.45,5274.TW
貿聯-KY(3665.TW),1285000,1.42,3665.TW
健策(3653.TW),770000,1.41,3653.TW
臻鼎-KY(4958.TW),5492000,1.4,4958.TW
旺宏(2337.TW),15350000,1.29,2337.TW
致茂(2360.TW),840000,1.13,2360.TW
創意(3443.TW),400000,0.96,3443.TW
聯亞(3081.TW),680000,0.94,3081.TW
鴻勁(7769.TW),219000,0.88,7769.TW
世界(5347.TW),9911000,0.84,5347.TW
光聖(6442.TW),830000,0.82,6442.TW
穎崴(6515.TW),165000,0.79,6515.TW
台燿(6274.TW),911000,0.73,6274.TW
頎邦(6147.TW),5000000,0.73,6147.TW
力旺(3529.TW),390000,0.71,3529.TW
高力(8996.TW),1169000,0.67,8996.TW
環球晶(6488.TW),1310000,0.64,6488.TW
健鼎(3044.TW),2300000,0.59,3044.TW
景碩(3189.TW),1380000,0.49,3189.TW
金居(8358.TW),1700000,0.49,8358.TW
勤誠(8210.TW),680000,0.47,8210.TW
富世達(6805.TW),500000,0.46,6805.TW
辛耘(3583.TW),900000,0.41,3583.TW
華星光(4979.TW),1200000,0.38,4979.TW
譜瑞-KY(4966.TW),784000,0.35,4966.TW
穩懋(3105.TW),957000,0.26,3105.TW
帆宣(6196.TW),870000,0.23,6196.TW
文曄(3036.TW),1500000,0.23,3036.TW
上銀(2049.TW),1010000,0.21,2049.TW
強茂(2481.TW),2510000,0.19,2481.TW
全新(2455.TW),450000,0.09,2455.TW
中砂(1560.TW),78000,0.03,1560.TW
華通(2313.TW),1000,0.0,2313.TW
