個股名稱,投資比例(%),持有股數,ticker,今日漲跌幅%,今日漲跌價
台積電(2330.TW),7.96,645000,2330.TW,-1.73,-40.0
台達電(2308.TW),6.07,475000,2308.TW,2.62,60.0
聯發科(2454.TW),4.36,188000,2454.TW,0.47,20.0
台光電(2383.TW),3.85,134000,2383.TW,-3.91,-215.0
致茂(2360.TW),3.37,248000,2360.TW,1.63,40.0
欣興(3037.TW),3.31,562000,3037.TW,9.6,95.0
智邦(2345.TW),3.23,227000,2345.TW,3.15,80.0
鴻勁(7769.TW),3.18,74000,7769.TW,3.34,255.0
金像電(2368.TW),3.09,393000,2368.TW,1.4,20.0
群聯(8299.TW),2.79,205000,8299.TW,1.01,25.0
華邦電(2344.TW),2.77,3621000,2344.TW,9.73,12.5
奇鋐(3017.TW),2.72,184000,3017.TW,5.83,150.0
南亞科(2408.TW),2.71,1646000,2408.TW,2.53,7.5
旺矽(6223.TW),2.41,71000,6223.TW,0.65,40.0
信驊(5274.TW),2.34,25000,5274.TW,-2.74,-485.0
川湖(2059.TW),2.24,82000,2059.TW,1.1,55.0
聯亞(3081.TW),2.18,127000,3081.TW,8.03,235.0
鴻海(2317.TW),2.12,1506000,2317.TW,-0.77,-2.0
創意(3443.TW),2.01,70000,3443.TW,-0.47,-25.0
緯穎(6669.TW),1.95,68000,6669.TW,-5.88,-330.0
日月光投控(3711.TW),1.94,584000,3711.TW,-0.97,-6.0
台燿(6274.TW),1.91,222000,6274.TW,-1.25,-20.0
勤誠(8210.TW),1.85,236000,8210.TW,0.35,5.0
穎崴(6515.TW),1.79,37000,6515.TW,0.62,55.0
文曄(3036.TW),1.7,1067000,3036.TW,-2.65,-8.0
富世達(6805.TW),1.56,161000,6805.TW,2.29,40.0
廣達(2382.TW),1.55,899000,2382.TW,0.0,0.0
高力(8996.TW),1.5,221000,8996.TW,9.69,110.0
景碩(3189.TW),1.15,305000,3189.TW,4.04,27.0
技嘉(2376.TW),1.05,577000,2376.TW,-0.15,-0.5
邁科(6831.TW),1.0,224000,6831.TW,3.54,28.0
緯創(3231.TW),0.97,1228000,3231.TW,-2.01,-3.0
中信金(2891.TW),0.89,2849000,2891.TW,0.52,0.3
鈊象(3293.TW),0.88,220000,3293.TW,-0.81,-6.0
光聖(6442.TW),0.87,71000,6442.TW,9.95,205.0
寶雅(5904.TW),0.78,258450,5904.TW,-1.25,-7.0
健策(3653.TW),0.76,38000,3653.TW,-2.65,-100.0
健鼎(3044.TW),0.76,276000,3044.TW,3.24,16.0
貿聯-KY(3665.TW),0.66,53336,3665.TW,-5.03,-120.0
玉山金(2884.TW),0.65,3867622,2884.TW,0.81,0.25
南俊國際(6584.TW),0.57,153000,6584.TW,0.44,3.0
華固(2548.TW),0.34,512000,2548.TW,-0.82,-1.0
聚陽(1477.TW),0.23,201000,1477.TW,-1.62,-3.5
欣銓(3264.TW),0.22,172000,3264.TW,3.12,7.0
嘉澤(3533.TW),0.19,13000,3533.TW,2.13,55.0
致伸(4915.TW),0.12,298000,4915.TW,0.14,0.1
