個股名稱,持有股數,投資比例(%),ticker
台積電(2330.TW),704000,9.83,2330.TW
聯發科(2454.TW),269000,6.23,2454.TW
台達電(2308.TW),475000,5.13,2308.TW
川湖(2059.TW),110000,4.59,2059.TW
台光電(2383.TW),134000,4.2,2383.TW
鴻勁(7769.TW),93000,3.61,7769.TW
欣興(3037.TW),562000,3.27,3037.TW
旺矽(6223.TW),84000,3.26,6223.TW
健策(3653.TW),151000,3.07,3653.TW
金像電(2368.TW),393000,2.79,2368.TW
穎崴(6515.TW),55000,2.69,6515.TW
聯亞(3081.TW),216000,2.62,3081.TW
國巨*(2327.TW),345000,2.09,2327.TW
鴻海(2317.TW),1286000,1.91,2317.TW
智邦(2345.TW),130000,1.85,2345.TW
創意(3443.TW),70000,1.85,3443.TW
高力(8996.TW),221000,1.81,8996.TW
奇鋐(3017.TW),131000,1.76,3017.TW
致茂(2360.TW),143000,1.74,2360.TW
南亞科(2408.TW),568000,1.52,2408.TW
日月光投控(3711.TW),400000,1.51,3711.TW
南電(8046.TW),219000,1.47,8046.TW
華邦電(2344.TW),1153000,1.42,2344.TW
文曄(3036.TW),1067000,1.37,3036.TW
台燿(6274.TW),130000,1.23,6274.TW
信驊(5274.TW),13000,1.21,5274.TW
中信金(2891.TW),2849000,1.2,2891.TW
寶雅(5904.TW),312450,1.19,5904.TW
廣達(2382.TW),530000,1.14,2382.TW
群聯(8299.TW),79000,1.09,8299.TW
力旺(3529.TW),60000,1.05,3529.TW
緯穎(6669.TW),39000,1.0,6669.TW
大立光(3008.TW),35000,0.99,3008.TW
勤誠(8210.TW),112000,0.82,8210.TW
技嘉(2376.TW),424000,0.81,2376.TW
玉山金(2884.TW),3867622,0.8,2884.TW
景碩(3189.TW),139000,0.66,3189.TW
緯創(3231.TW),700000,0.64,3231.TW
貿聯-KY(3665.TW),53336,0.59,3665.TW
鈊象(3293.TW),124000,0.55,3293.TW
富世達(6805.TW),54000,0.53,6805.TW
健鼎(3044.TW),164000,0.5,3044.TW
邁科(6831.TW),83000,0.39,6831.TW
光聖(6442.TW),37000,0.37,6442.TW
欣銓(3264.TW),172000,0.22,3264.TW
嘉澤(3533.TW),13000,0.16,3533.TW
