個股名稱,投資比例(%),持有股數,ticker,今日漲跌幅%,今日漲跌價,Volume
台積電(2330.TW),8.01,1937000,2330.TW,0.0,0.0,0
聖暉*(5536.TW),7.59,3804000,5536.TW,0.0,0.0,0
聯發科(2454.TW),7.29,873000,2454.TW,0.0,0.0,0
亞翔(6139.TW),4.1,2813000,6139.TW,0.0,0.0,0
穩懋(3105.TW),4.07,4039000,3105.TW,0.0,0.0,0
致茂(2360.TW),3.94,835000,2360.TW,0.0,0.0,0
智邦(2345.TW),3.85,816000,2345.TW,0.0,0.0,0
欣銓(3264.TW),3.79,9176000,3264.TW,0.0,0.0,0
昇達科(3491.TW),3.67,980000,3491.TW,0.0,0.0,0
旺矽(6223.TW),3.59,312000,6223.TW,0.0,0.0,0
台光電(2383.TW),3.2,335000,2383.TW,0.0,0.0,0
臻鼎-KY(4958.TW),3.05,3192000,4958.TW,0.0,0.0,0
頎邦(6147.TW),2.85,5987000,6147.TW,0.0,0.0,0
緯穎(6669.TW),2.74,300000,6669.TW,0.0,0.0,0
聯電(2303.TW),2.35,9119000,2303.TW,0.0,0.0,0
啟碁(6285.TW),2.29,4083000,6285.TW,0.0,0.0,0
矽格(6257.TW),2.0,4756000,6257.TW,0.0,0.0,0
奇鋐(3017.TW),2.0,412000,3017.TW,0.0,0.0,0
環球晶(6488.TW),1.94,1159000,6488.TW,0.0,0.0,0
辛耘(3583.TW),1.79,1138000,3583.TW,0.0,0.0,0
志聖(2467.TW),1.75,1484000,2467.TW,0.0,0.0,0
立隆電(2472.TW),1.71,2820000,2472.TW,0.0,0.0,0
川湖(2059.TW),1.65,186000,2059.TW,0.0,0.0,0
光洋科(1785.TW),1.44,5607000,1785.TW,0.0,0.0,0
鴻勁(7769.TW),1.32,94000,7769.TW,0.0,0.0,0
台燿(6274.TW),1.31,446000,6274.TW,0.0,0.0,0
微星(2377.TW),1.31,5736000,2377.TW,0.0,0.0,0
大立光(3008.TW),1.29,204000,3008.TW,0.0,0.0,0
文曄(3036.TW),1.25,2344000,3036.TW,0.0,0.0,0
矽創(8016.TW),1.21,2240000,8016.TW,0.0,0.0,0
大聯大(3702.TW),1.19,5498000,3702.TW,0.0,0.0,0
日月光投控(3711.TW),1.18,1022000,3711.TW,0.0,0.0,0
國巨*(2327.TW),1.05,833000,2327.TW,0.0,0.0,0
楠梓電(2316.TW),1.03,3422000,2316.TW,0.0,0.0,0
金像電(2368.TW),0.98,398000,2368.TW,0.0,0.0,0
台表科(6278.TW),0.95,2235000,6278.TW,0.0,0.0,0
漢唐(2404.TW),0.84,379000,2404.TW,0.0,0.0,0
高力(8996.TW),0.83,382000,8996.TW,0.0,0.0,0
愛普*(6531.TW),0.59,303000,6531.TW,0.0,0.0,0
順德(2351.TW),0.56,1369000,2351.TW,0.0,0.0,0
精測(6510.TW),0.36,62000,6510.TW,0.0,0.0,0
邁科(6831.TW),0.33,226000,6831.TW,0.0,0.0,0
技嘉(2376.TW),0.32,538000,2376.TW,0.0,0.0,0
創見(2451.TW),0.3,525000,2451.TW,0.0,0.0,0
信驊(5274.TW),0.3,9000,5274.TW,0.0,0.0,0
新日興(3376.TW),0.14,364000,3376.TW,0.0,0.0,0
元大金(2885.TW),0.12,1128420,2885.TW,0.0,0.0,0
達麗(6177.TW),0.06,800350,6177.TW,0.0,0.0,0
創意(3443.TW),0.01,1000,3443.TW,0.0,0.0,0
兆豐金(2886.TW),0.0,1000,2886.TW,0.0,0.0,0
振大環球(4441.TW),0.0,4000,4441.TW,0.0,0.0,0
神達(3706.TW),0.0,1400,3706.TW,0.0,0.0,0
貿聯-KY(3665.TW),0.0,136,3665.TW,0.0,0.0,0
華固(2548.TW),0.0,2000,2548.TW,0.0,0.0,0
富邦金(2881.TW),0.0,250,2881.TW,0.0,0.0,0
華城(1519.TW),0.0,600,1519.TW,0.0,0.0,0
富世達(6805.TW),0.0,1000,6805.TW,0.0,0.0,0
南電(8046.TW),0.0,2000,8046.TW,0.0,0.0,0
金居(8358.TW),0.0,1000,8358.TW,0.0,0.0,0
