個股名稱,持有股數 / 口數,投資比例(%),ticker
台積電(2330.TW),271999,14.47,2330.TW
奇鋐(3017.TW),105500,7.47,3017.TW
聯發科(2454.TW),69001,7.0,2454.TW
台光電(2383.TW),59001,6.79,2383.TW
旺矽(6223.TW),39901,4.98,6223.TW
川湖(2059.TW),18001,4.86,2059.TW
台燿(6274.TW),158000,4.58,6274.TW
欣興(3037.TW),206001,4.23,3037.TW
緯穎(6669.TW),83518,4.21,6669.TW
健策(3653.TW),25000,2.99,3653.TW
信驊(5274.TW),6420,2.66,5274.TW
創意(3443.TW),19050,2.45,3443.TW
南電(8046.TW),110000,2.43,8046.TW
南亞(1303.TW),460000,2.33,1303.TW
台達電(2308.TW),58499,2.28,2308.TW
智邦(2345.TW),49000,2.06,2345.TW
南亞科(2408.TW),175000,2.0,2408.TW
鴻勁(7769.TW),11000,1.65,7769.TW
景碩(3189.TW),95000,1.64,3189.TW
日月光投控(3711.TW),123002,1.64,3711.TW
聯亞(3081.TW),23000,1.42,3081.TW
富世達(6805.TW),30000,1.39,6805.TW
萬潤(6187.TW),39000,1.16,6187.TW
力成(6239.TW),175000,1.04,6239.TW
強茂(2481.TW),290000,0.95,2481.TW
高力(8996.TW),36000,0.95,8996.TW
京元電子(2449.TW),150000,0.87,2449.TW
環球晶(6488.TW),41000,0.84,6488.TW
聯電(2303.TW),260000,0.77,2303.TW
昇達科(3491.TW),20000,0.64,3491.TW
致茂(2360.TW),12000,0.59,2360.TW
貿聯-KY(3665.TW),13000,0.54,3665.TW
穎崴(6515.TW),3000,0.5,6515.TW
緯創(3231.TW),111000,0.45,3231.TW
台灣大(3045.TW),151000,0.38,3045.TW
金像電(2368.TW),16000,0.37,2368.TW
世芯-KY(3661.TW),4000,0.35,3661.TW
國泰金(2882.TW),130000,0.32,2882.TW
兆豐金(2886.TW),100000,0.11,2886.TW
彰銀(2801.TW),40000,0.02,2801.TW
鴻海(2317.TW),1000,0.01,2317.TW
裕融(9941.TW),7260,0.01,9941.TW
大江(8436.TW),1000,0.0,8436.TW
